"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Sr. IT Programmer","EUROMEDICA GROUP","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Network Security Engineer","PT. Berca Hardayaperkasa","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Business Analyst","PT Sahassa Panca Manunggal","Jakarta Selatan, Jakarta Raya","Rp 7.000.000 – Rp 10.500.000 per month","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin","PT. RUIJIN TRADE INDONESIA JAYA","Jakarta Utara, Jakarta Raya","Rp 4.000.000 – Rp 4.500.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Mandarin Staff","Pt. Yili indonesia dairy","Cikarang","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Officer","","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technical & Product Development Senior Division Head","PT Artha Infotama (Jakarta)","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Front End (Angular) Developer","PT Linov Roket Prestasi","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Head of IT Business Analyst","PT Adira Dinamika Multi Finance Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Software Developer","Savoria Group","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support","PT Modera Furintraco Industri","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant","Leinad Aganis Consultant","Jakarta Barat, Jakarta Raya","Rp 4.666.667 – Rp 7.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Programmer","PT Ki-Antaka Rasa","Tangerang Selatan, Banten","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales","PT Pratama Graha Semesta","Jakarta Utara, Jakarta Raya","Rp4.000.000 – Rp5.500.000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Fullstack Developer Bootcamp","PT Lawencon Internasional","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Presales Specialist","PT. Metrocomjaddi Technology","Jakarta Selatan, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"PROGRAMMER","PT Sinar Sakti Metalindo","Cileungsi, Jawa Barat","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Oracle Functional","PT. Mora Telematika Indonesia TBK","Jakarta Pusat, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Security Penetration Tester","PT Lawencon Internasional","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Project Manager","PT Solman Tekno Asia","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support & Network","PT Belengkong Mineral Resources","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Security","PT Bank IBK Indonesia, Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Business Analyst Assistant Manager","PT Porto Indonesia Sejahtera","Jakarta Utara, Jakarta Raya","Rp 10,000,000 – Rp 13,000,000 per month","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"HR Admin","PT Global Jet Cargo","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Asisten Direktur","PT Inti Persada Aesthetic","Jakarta Barat, Jakarta Raya","Rp4.800.000 – Rp7.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Asset Administration Specialist","","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Security","PT Adira Dinamika Multi Finance Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"NGO Project Manager - IT (App development & Implementation)","Yayasan Daur Pangan Nusantara","Jakarta Timur, Jakarta Raya","Rp 10,000,000 – Rp 13,000,000 per month","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Project Manager (Software Banking)","PT Simian Technologies","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Engineer","PT. Berca Hardayaperkasa","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"React Js Developer","PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH)","Jakarta Pusat, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technical Leader","PT Cahaya Berkat Sempurna","Jakarta Pusat, Jakarta Raya","","subClassification: Pemimpin TimPemimpin Timclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Business Intelligence","PT Karisma Zona Kreatifku","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ERP Implementation (Senior Staff - Senior Supervisor) - IT Consulting (A-101951)","RGF HR Agent Indonesia","Jakarta Selatan, Jakarta Raya","Rp 12,000,000 – Rp 18,000,000 per month","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Data Support Supervisor","PT Bina Karya Prima","Jakarta Utara, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Kepala Departemen IT","PT Dwigunatama Rintisprima","Cileungsi, Jawa Barat","","subClassification: Pemimpin TimPemimpin Timclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Customer Interface & Admin","PT. Berca Hardayaperkasa","Cikarang","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Transporter","PT Global Jet Express","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Business Analyst","PT Skyworx Indonesia","Jakarta Pusat, Jakarta Raya","Rp 6,000,000 – Rp 9,000,000 per month","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Corporate Secretary","PT Mega Jasa Santosa","Jakarta Barat, Jakarta Raya","Rp 7,000,000 – Rp 10,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT QC Supervisor","PT MMS Group Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Solution Architect - AI/IoT/AIoT for Mining","PT Mitra Solusi Telematika","Jakarta Selatan, Jakarta Raya","","subClassification: ArsitekArsitekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary","PAN ASIAN GLOBAL PTE. LTD.","Bogor, Jawa Barat","Rp 5,000,000 – Rp 7,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Software Engineer","pt mitra utama solusi telematika","Jakarta Selatan, Jakarta Raya","Rp 7.500.000 – Rp 9.500.000 per month","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Front End Developer","PT UangMe Fintek Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Construction Administrator","CIPUTRA GROUP","Ciputat, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Jr. Secretary","SOECHI GROUP","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Network Engineer","PT PATRIA LINTASJAYA","Jakarta Selatan, Jakarta Raya","Rp 5.000.000 – Rp 7.500.000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT PROGRAMMER","PT Binex Logistic","Jakarta Utara, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Project Management Office Specialist","PT Wahana Ottomitra Multiartha (WOM Finance), Tbk","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
