"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Field Engineer / Network Engineer","PT.Ingen Technologies","Jakarta Barat, Jakarta Raya","Rp 3.000.000 – Rp 4.500.000 per month","subClassification: Teknik – JaringanTeknik – Jaringanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Analyst","PT. Wide Technologies Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary","PT Dutapalma Nusantara (Darmex Agro Group)","Jakarta Selatan, Jakarta Raya","Rp 8,500,000 – Rp 11,900,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Technical Assistant General Claim Department","PT Reasuransi Indonesia Utama (Persero)","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Executive Secretary","ASRI (a subsidiary of Agung Sedayu Group)","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Online","Pegasus Kabel Jaya","Jakarta Barat, Jakarta Raya","Rp 3.000.000 – Rp 3.500.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Software Quality Assurance (Senior)","PT Sinergi Daya Mitra","Jakarta Pusat, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technician","PT Cipta Raya Data Makmur","Cikarang Utara, Jawa Barat","","subClassification: Teknik – JaringanTeknik – Jaringanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administration Head (ADH)","PT Sun Mega Motor","Jakarta Timur, Jakarta Raya","Rp 6,000,000 – Rp 8,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Administrasi","PT Solid Engineering","Bekasi, Jawa Barat","Rp 3,000,000 – Rp 4,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Software Technical Writer","PT IDX Solusi Teknologi Informasi","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Security (Jr)","PT. Trimegah Sekuritas Indonesia, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"CBM Engineer","PT Daun Biru Engineering","Depok, Jawa Barat","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary BOD","PT Berlian Laju Tanker, Tbk","Jakarta Pusat, Jakarta Raya","Rp 7,000,000 – Rp 10,500,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Assistant Staff IT","PT Tembaga Mulia Semanan, Tbk","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Hardware Interface Programmer","PT Nutech Integrasi","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Customer Service Officer","PT. Adinaga Distribution Jakarta","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Quality Assurance","PT IDX Solusi Teknologi Informasi","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Technical Support","PT Rsystems Ibizcs International","Jakarta Pusat, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Security Engineer","PT IP Network Solusindo","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Full Stack Engineer","PT Sharing Vision Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary","PwC Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Network","","Jakarta Timur, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Receptionist","JP Hotel","Jakarta Utara, Jakarta Raya","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales Admin","PT KITO INDONESIA","Cikarang","Rp 5,500,000 – Rp 6,500,000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Front Desk Receptionist","PT Remala Abadi","Jakarta Selatan, Jakarta Raya","Rp 4,500,000 – Rp 5,500,000 per month","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"System Engineer","PT Nadara Digital Solusi","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Back Office Administration Support Staff","SCG","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"General Affair","PT Sansan Yosindo","Jakarta Pusat, Jakarta Raya","","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Quality Assurance","PT Belengkong Mineral Resources","Jakarta Utara, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sales Administrator","PT Caraka Prakasa Teknik","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"HC Data Center (Intership)","PT. BNI MULTIFINANCE","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"General Admin","PT. Jaya Karya Steelindo","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Data Center & Infrastructure Staff","DHARMA GROUP","Cikarang Selatan, Jawa Barat","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Data Analyst and Operations","Halodoc","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Data Analyst","PT. Sari Tan Martani","Jakarta Utara, Jakarta Raya","Rp 5,000,000 – Rp 7,500,000 per month","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"BT Application Developer","PT. SOHO Industri Pharmasi","Jakarta Timur, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Project Manager","PT Reycom Document Solusi","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Administrasi STNK","PT Tunas Ridean","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Visa Admin","PT DIAN GRAHA ELEKTRIKA","Jakarta Selatan, Jakarta Raya","Rp 10.000.000 – Rp 15.000.000 per month","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Operasional (Custody)","PT Balai Lelang Caready","Bekasi, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Secretary","PT Hasjrat Abadi","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Software Quality Assurance Staff - Penempatan Jakarta Selatan","PT BCA Finance","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Network Engineer (Sunter)","PT. Metrodata Electronics, Tbk","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support","PT Royal Pesona Indonesia (Somethinc – Beautyhaul)","Jakarta Barat, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"中文助理","PT. Ming Sui Solusi Indonesia","Jakarta Pusat, Jakarta Raya","Rp 9,000,000 – Rp 13,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Developer","PT Beautilosophi Mahandaru Indonesia","Jakarta Selatan, Jakarta Raya","Rp 4.500.000 – Rp 6.000.000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SAP Quality Management  (QM)","Indofood Group","Jakarta Selatan, Jakarta Raya","","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Executive","Marquee Executive Offices","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Import","PT Pafa Mandiri Sakti","Jakarta Barat, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Archive Specialist","PT Indonesia Weda Bay Industrial Park","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen Catatan & Kontrol DokumenManajemen Catatan & Kontrol Dokumenclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Executive Assistant","PT SAS Securitas Indonesia","Jakarta Timur, Jakarta Raya","Rp 10,000,000 – Rp 15,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Resto","","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Engineering","PT Ciputra Balai Property","Jakarta Selatan, Jakarta Raya","Rp 5.000.000 – Rp 6.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Support & Design","PT. Eltama Prima Indo","Bekasi, Jawa Barat","","subClassification: Teknik – Perangkat KerasTeknik – Perangkat Kerasclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Administrasi","PT Bina Usaha Sejahtera","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Sales","PT Hasil Raya Industries","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Project Manager","PT Prawathiya Karsa Pradipta","Bekasi, Jawa Barat","Rp 7,000,000 – Rp 9,000,000 per month","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assitant","PT. ARMAS TEKNOLOGI INDONESIA","Jakarta Utara, Jakarta Raya","Rp 7,000,000 – Rp 10,500,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Marketing","PT Berkah Ananda","Jakarta Utara, Jakarta Raya","IDR 4,500,000 - 5,000,000","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Rekanan dan Tender","KJPP Dino Farid dan Rekan","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Operational Administrator - Kuningan","CIPUTRA GROUP","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Sales","PT Multi Mayaka","Jakarta Timur, Jakarta Raya","Rp 4,500,000 – Rp 5,100,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Officer","PT Lotte Indonesia","Jakarta Selatan, Jakarta Raya","Rp 6,000,000 – Rp 6,500,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Database Administrator (DBA)","PT. Trimegah Sekuritas Indonesia, Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin kantor","PT Trimukti Wirapratama","Jakarta Barat, Jakarta Raya","Rp 4.500.000 – Rp 5.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Programmer Full Stack Staff","PT TRIBUANA GLOBAL GRUP","Jakarta Utara, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administrative Executive - Deltamas Bekasi","PT Central Mega Kencana","Kabupaten Bekasi, Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sekretaris","PT Nusakura Standarindo","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"System Administrator & Database Specialist","PT Gunung Raja Paksi,Tbk","Bekasi, Jawa Barat","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin & CS","LAW OFFICE RBS & PARTNERS","Cikarang","Rp 3.400.000 – Rp 5.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN STAFF","PT Mandjur Sehat Abadi","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Staff","PT Victoria Care Indonesia TBK","Cengkareng, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Infrastructure Staff","PT Tangkas Cipta Optimal","Jakarta Pusat, Jakarta Raya","Rp 6,000,000 – Rp 8,400,000 per month","subClassification: Teknik – Perangkat KerasTeknik – Perangkat Kerasclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"MS Export","PT Tangkas Cipta Optimal","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Marketing Marine","PT Resimen Sinergi Indonesia","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"ADMIN SALES","PT Universal","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Document Staff","PT Golden Nusa Jaya Tours","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Administrasi","PT Sahabat Abadi Sejahtera","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Support","PT Waruna Nusa Sentana (MJS Line)","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant","PT Sillo Maritime Perdana Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Business Analyst","","Jakarta Pusat, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT BUSINESS ANALYST","PT Prawathiya Karsa Pradipta","Bekasi, Jawa Barat","Rp 6,000,000 – Rp 9,000,000 per month","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Administrasi","Honda Kencana Kranji (PT Kencana Dharma Abadi)","Bekasi, Jawa Barat","IDR 4,200,000 - 4,500,000","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Administrasi","PT Lumbung Makmur Propertindo","Kelapa Gading, Jakarta Raya","Rp 4,000,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Marketing Information System Manager","PT Bintang Toedjoe","Jakarta Timur, Jakarta Raya","Rp 15.500.000 – Rp 23.000.000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Server Admin","PT Digital Mediatama Maxima Tbk.","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Kasir","PT Istana Kemakmuran Motor","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales & Administrasi Perizinan","PT Sumaco Wahana Utama","Jakarta Selatan, Jakarta Raya","Rp 5.333.333 – Rp 7.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Marketing","PT. Inti Teknologi Solusindo","Jakarta Barat, Jakarta Raya","IDR 4,000,000 - 4,500,000","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Cum MIS Staff","PT Keyence Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Officer","PT Composite Solutions","Kelapa Gading, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"STAFF ADMINISTRATION","PT Yamaha Indonesia Motor Mfg","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Procurement Admin (Maternity Leave)","PT NSK Bearings Manufacturing Indonesia","Bekasi, Jawa Barat","Rp 5,600,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Tax admin & TKDN Migas (Local Content Oil & Gas)","PT Japan Drilling Indonesia","Jakarta Pusat, Jakarta Raya","Rp 7.500.000 – Rp 9.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Secretary","PERSEROAN TERBATAS - BADAN MULTITEKNIK MITRA PERSADA","Bekasi, Jawa Barat","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staf Tata Usaha","SMK Kesehatan Zamzam Kurnia","Bekasi, Jawa Barat","","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Administration Staff","MAKA Motors","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Operasional","PT Griyatis Perdana Selaras","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Supply Chain Data Analyst Sr. Staff (Power BI)","PT Sukanda Djaya","Bekasi, Jawa Barat","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ADMIN","PT ARAYA BANGUN SARANA","Kelapa Gading, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Online & Office Support","PT Audioworkshop","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin (Bekasi)","PT Karya Sukses Propertindo","Bekasi, Jawa Barat","Rp 2,000,000 – Rp 2,800,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Infrastructure & Support Staff","PT Porto Indonesia Sejahtera","Jakarta Utara, Jakarta Raya","Rp 5,000,000 – Rp 6,500,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Corporate Administration","PT Hitachi Astemo Bekasi Powertrain Systems","Cikarang","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"RESEPSIONIS / FRONT DESK","Rumah Sakit Khusus THT - Bedah CIRANJANG","Jakarta Selatan, Jakarta Raya","","subClassification: ResepsionisResepsionisclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"PROJECT ADMIN","PT. Rajawali Guna Makmur","Jakarta Selatan, Jakarta Raya","Rp 5.000.000 – Rp 7.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Data Entry","PT Norxel Teknologi Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Entri Data & Pengolahan KataEntri Data & Pengolahan Kataclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Tollpack Manager","Musim Mas","Bekasi, Jawa Barat","Rp 7.000.000 – Rp 10.000.000 per month","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"SEKERTARIS / ASISTEN PRIBADI","Rumah Sakit Khusus THT - Bedah CIRANJANG","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales Admin","PT Artha Victory Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant","PT Ramayana Lestari Sentosa Tbk","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Data Support and Administration Officer","MODENA INDONESIA","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
